1527: that
483: from
479: they
471: very
466: would
441: no
438: me
434: them
421: your
416: this
1947: a
409: will
408: their
401: said
397: what
1414: not
376: such
3445: and
370: Darcy
365: or
1379: she
349: an
859: is
343: Mrs
343: are
325: She
324: do
324: more
324: much
834: have
317: But
317: must
316: am
1841: was
301: any
1831: in
292: Bennet
292: when
285: The
284: than
284: there
281: Miss
277: who
783: Mr
263: Jane
1287: it
259: if
257: did
256: Bingley
252: one
250: should
761: him
248: It
757: at
239: know
235: He
1252: be
225: before
224: herself
220: You
219: other
216: has
214: never
214: soon
210: can
210: only
210: think
207: though
203: some
201: we
200: may
200: might
200: time
197: now
187: little
186: most
183: every
183: own
692: on
178: sister
176: well
175: again
175: being
175: without
170: good
168: make
1191: you
165: how
1188: his
162: after
162: nothing
161: Wickham
160: shall
159: then
156: say
155: Collins
153: And
151: family
150: see
659: but
143: dear
143: first
142: man
141: into
140: great
140: too
137: Lady
134: out
642: by
130: Lydia
130: two
129: ever
128: day
128: however
127: young
1150: had
126: made
125: They
125: himself
124: give
124: us
121: about
121: hope
118: always
118: away
118: last
116: father
116: letter
115: cannot
115: many
114: sisters
113: up
112: My
112: room
111: thought
4207: the
110: Catherine
621: all
109: way
108: mother
3692: of
1132: as
104: If
104: enough
104: its
103: replied
102: friend
102: saw
101: sure
100: felt
100: long
99: go
98: manner
98: wish
97: house
96: quite
93: myself
92: Lizzy
92: better
91: cried
91: love
91: pleasure
90: Oh
90: came
90: having
90: often
89: done
89: over
88: Longbourn
87: Her
87: really
598: my
86: In
86: feelings
86: heard
86: till
86: where
85: come
85: subject
85: whom
84: believe
83: Project
594: Elizabeth
81: Gardiner
81: does
81: even
80: His
80: When
2128: her
79: anything
79: happy
79: whole
78: aunt
78: daughter
77: What
77: less
77: like
77: morning
77: take
75: seen
74: ladies
1098: he
73: Netherfield
73: down
73: indeed
73: looked
73: therefore
72: This
72: evening
72: few
72: our
72: place
72: still
71: added
71: happiness
71: hear
71: just
70: both
70: same
69: Kitty
69: found
68: attention
68: next
68: opinion
68: present
68: something
68: told
67: Charlotte
66: How
66: marriage
66: received
66: seemed
66: tell
66: towards
66: upon
66: went
66: world
65: Lucas
65: home
65: least
65: left
65: speak
64: answer
64: moment
64: nor
64: part
64: work
63: Colonel
63: There
63: certainly
63: each
63: together
63: town
62: off
62: these
62: while
62: yet
61: Chapter
61: character
61: friends
61: gone
61: kind
61: married
61: passed
60: almost
60: brother
60: coming
60: conversation
60: either
60: immediately
60: leave
60: seeing
571: so
59: We
59: because
59: began
59: between
59: means
59: uncle
59: whose
58: affection
58: here
58: knew
57: As
57: Meryton
57: find
57: going
57: known
57: life
57: party
57: perhaps
4152: to
56: daughters
56: far
56: given
56: look
56: mind
56: once
56: three
55: Gutenbergtm
55: another
55: possible
55: rather
55: woman
54: Bingleys
54: London
54: able
54: gave
54: since
54: those
53: Pemberley
53: To
53: Yes
53: behaviour
53: certain
53: others
53: person
53: side
53: took
53: visit
52: That
52: against
52: eyes
52: get
52: return
52: whether
51: acquaintance
51: continued
51: reason
51: walk
49: A
49: No
49: Rosings
49: Sir
49: general
49: idea
49: let
49: word
49: yourself
560: were
48: object
48: regard
48: suppose
47: course
47: ill
47: settled
46: business
46: half
46: hardly
46: lady
46: people
46: perfectly
45: heart
45: ought
45: point
45: returned
44: At
44: Darcys
44: Your
44: carriage
44: girls
44: help
44: longer
44: walked
44: want
44: wife
43: agreeable
43: else
43: scarcely
43: short
43: spoke
43: through
43: turned
42: civility
42: country
42: expected
42: honour
42: husband
42: marry
42: power
42: pride
42: thing
41: back
41: best
41: called
41: cousin
41: everything
41: impossible
41: manners
41: read
41: right
41: terms
40: Do
40: asked
40: dare
40: met
