40: Hamlet
40: Never
40: Your
40: beside
40: hot
40: makes
40: moon
40: sent
40: short
40: silk
40: sort
40: try
40: wants
39: Cowley
39: Douce
39: Myles
39: OF
39: Tell
39: Their
39: Was
39: act
39: anyhow
39: calls
39: else
39: family
39: flesh
39: glass
39: hall
39: however
39: husband
39: inside
39: ladies
39: laughed
39: letters
39: low
39: running
39: shadow
39: turning
39: twice
39: wrong
38: MRS
38: Milly
38: Paddy
38: Saint
38: WATCH
38: William
38: bent
38: card
38: dress
38: female
38: finger
38: forget
38: front
38: help
38: king
38: means
38: moved
38: paid
38: priest
38: spoke
38: stone
38: taken
38: yourself
37: BELLO
37: Better
37: Jesus
37: Kernan
37: Richie
37: Shakespeare
37: Will
37: bar
37: hold
37: instant
37: la
37: lane
37: leave
37: none
37: sing
37: square
37: touch
36: 5
36: Blazes
36: Bob
36: Corny
36: Edy
36: added
36: clean
36: fear
36: gently
36: ground
36: heaven
36: laugh
36: memory
36: nine
36: pay
36: please
36: points
36: raised
36: rock
36: sailor
36: silver
36: skirt
36: slow
36: smiling
36: suddenly
36: talk
6691: and
35: Best
35: Eglinton
35: Kelleher
35: Tommy
35: ball
35: beyond
35: bronze
35: city
35: die
35: eat
35: either
35: eleven
35: general
35: holding
35: lifted
35: mans
35: reading
35: reason
35: someone
35: terms
35: understand
35: various
34: French
34: Moses
34: Only
34: Wyse
34: ad
34: beautiful
34: cap
34: cat
34: company
34: fall
34: fellows
34: friends
34: grave
34: halted
34: hundred
34: known
34: outside
34: race
34: rich
34: sang
34: shes
34: song
34: summer
34: takes
34: trouble
34: whether
34: womans
34: written
33: Caffrey
33: Flynn
33: James
33: MCoy
33: May
33: PRIVATE
33: Youre
33: amid
33: ancient
33: carriage
33: deep
33: during
33: dying
33: ears
33: everything
33: floor
33: fresh
33: gaze
33: hours
33: loose
33: master
33: quiet
33: return
33: ring
33: seven
33: skin
33: steps
33: top
33: waters
32: E
32: Hello
32: Hynes
32: Lynch
32: Were
32: hotel
32: leg
32: less
32: page
32: penny
32: ran
32: real
32: reverend
32: shoulder
32: sight
32: singing
32: stopped
32: stuck
31: D
31: Goulding
31: Kennedy
31: LYNCH
31: aside
31: damn
31: doesnt
31: double
31: faces
31: fathers
31: flower
31: funeral
31: male
31: middle
31: opposite
31: sad
31: sand
31: school
31: thee
31: whatever
30: George
30: H
30: Kinch
30: Love
30: W
30: attention
30: eh
30: host
30: kitchen
30: liked
30: meeting
30: piece
30: places
30: pleasure
30: received
30: scene
30: shoulders
30: sometimes
30: stands
30: stick
30: usual
30: waves
30: whats
30: wild
30: worse
30: worth
29: Christ
29: English
29: First
29: Gods
29: Got
29: Nosey
29: Shes
29: Those
29: begat
29: birth
29: breast
29: buy
29: catch
29: close
29: clothes
29: coffin
29: devil
29: field
29: flowers
29: jew
29: laughter
29: legs
29: lie
29: living
29: luck
29: played
29: power
29: pretty
29: probably
29: rain
29: rising
29: royal
29: secret
29: seemed
29: shirt
29: silence
29: stars
29: story
29: thousand
29: throw
28: Dr
28: Gutenberg
28: L
28: Patrick
28: Too
28: Very
28: closed
28: coat
28: doorway
28: easy
28: hate
28: heads
28: lamp
28: loved
28: lower
28: private
28: quietly
28: row
28: save
28: seeing
28: several
28: sign
28: simple
28: sit
28: softly
28: soon
28: speech
28: strong
28: watched
28: youth
27: Davy
27: F
27: Get
27: Go
27: King
27: London
27: Marion
27: Paris
27: Some
27: Spanish
27: almost
27: appears
27: asking
27: baby
27: blessed
27: bob
27: bottom
27: broke
27: cause
27: cross
27: drank
27: electronic
27: fashion
27: feeling
27: following
27: garden
27: handed
27: happy
27: horses
27: indeed
27: lived
27: looks
27: meat
27: pockets
27: pray
27: saint
27: sense
27: sides
27: souls
27: space
27: spirit
27: suit
27: tall
27: town
27: truth
27: week
27: wine
27: wish
26: Burke
26: Might
26: More
26: North
26: Thomas
26: Which
26: Zoe
26: beard
26: bell
26: bought
26: butter
26: certainly
26: common
26: cool
26: crossed
26: food
26: giving
26: hadnt
26: holds
26: jews
26: led
26: lives
26: loudly
26: mass
26: month
26: opened
26: pity
26: rev
26: rocks
26: rolled
26: seated
26: third
26: tomorrow
26: wet
26: windows
26: writing
25: BELLA
25: Had
25: Martha
25: Out
25: Right
25: Say
25: ashplant
25: bearing
25: belly
25: bore
25: bottle
25: character
25: crown
25: easily
25: faith
25: false
25: gate
25: gazed
25: gentlemen
25: grand
25: hats
25: hole
25: lines
25: loves
25: months
25: poet
25: pound
25: prince
25: putting
25: queen
25: remembered
25: sin
25: south
25: step
25: stones
25: straight
25: thick
25: trees
25: waistcoat
25: wide
24: 3
24: 4
24: Boardman
24: Can
24: FLORRY
24: High
24: Malachi
24: Poldy
24: Roman
